Brand,Model,Product Type,Processor Brand,Processor Model,CPU Cores,Processor Speed (GHz),Processor Max Speed,RAM (GB),RAM Type,Storage Type,Storage Size (GB),Operating System,Screen Size (inches),Screen Definition,Resolution,Graphics Card Type,Camera Resolution (MP),Type,Bluetooth,Ethernet,HDMI,USB,Wireless Ready,Weight (kg),Product Height (cm),Product Width (cm),Product Depth (cm),Price (RM)
Asus,Laptop 14 A416 (A416M-ABV344T),Laptop,Intel,Celeron N4020,2,1.1,2.8 GHz,4,DDR4 SDRAM,PCIe Gen3 x2 SSD,256,Windows 10 Home,14, Full HD ,1920 x 1080,Intel UHD Graphics 600,VGA Webcam,"LED backlit, 60Hz Anti-Glare Panel with 45% NTSC",Bluetooth 4.1,,,"1 x USB Type-C (3.1 Gen 1), 1 x USB Type-A (3.1 Gen 1), 2 x USB Type-A (2.0)",Intel Wi-Fi 5 (802.11ac),1.5,1.99cm,32.54cm,21.6cm,1799
MSI,Bravo 15 B5DD-098,Gaming laptop,AMD,Ryzen 7 5800H,8,3.2,4.4 GHz,8,DDR4-3200,NVMe PCIe Gen3,512,Windows 10 Home,15.6, Full HD ,1920 x 1080,AMD Radeon RX5500M,HD type (30fps @ 720p),IPS-Level,Bluetooth 5.1,1 x Gigabit Ethernet,1 x HDMI (4K @ 60Hz),"1 x USB Type-C (3.2 Gen 1), 2 x USB Type-A (3.2 Gen 1), 1 x USB Type-A (2.0)",802.11 ax Wi-Fi 6 ,2.35,2.5cm,35.9cm,25.9cm,4499
Lenovo,IdeaPad 3 (81WH004WMJ),Laptop,Intel,Celeron N4020,2,1.1,2.8 GHz,4,DDR4 2400 RAM,M.2 2242 PCIe 3.0 SSD,256,Windows 10 Home,14,HD,1366 x 768,Intel UHD Graphics 600,"720p, with privacy shutter, fixed focus","TN, 220 nits, Anti-glare",Bluetooth 5.0,,1 x HDMI 1.4b,"2 x USB Type-A (3.2 Gen 1), 1 x USB Type-A (2.0)",802.11ac 2x2 Wi-Fi,1.41,1.99cm,32.42cm,21.57cm,1597
HP,ProBook 440 G8,Laptop,Intel,Core i5-1135G7,4,2.4,4.2 GHz,8,DDR4-3200 SDRAM,PCIe NVMe M.2 SSD,512,Windows 10 Pro 64,14, Full HD ,1920 x 1080,Intel Iris Xe Graphics G7 80EUs,720p HD camera,"IPS, narrow bezel, anti-glare, 250 nits, 45% NTSC",Bluetooth 5.0,Ethernet (RJ-45) port,1 x HDMI 1.4b,"1 x USB Type-C (SuperSpeed 10Gbps signaling rate, USB Power Delivery, DisplayPort), 3 x USB Type-A (SuperSpeed USB 5Gbps signaling rate) (1 charging, 1 power)",Intel AX201 Wi-Fi 6 (2x2),1.38,1.99cm,32.19cm,21.39cm,3691
Huawei,MateBook 14,Laptop,AMD,Ryzen 5 4600H,6,3.0,4.0 GHz,8,DDR4 2666MHZ,PCIe SSD,512,Windows 10 Home 64,14,2K,2160 x 1440,AMD Radeon RX Vega 6,720P HD Recessed,IPS,Bluetooth 5.0,,1 x HDMI 1.4b,"1 x USB Type-C, 2 x USB Type-A (3.2 Gen 1)","IEEE 802.11a/b/g/n/ac, 2.4 GHz/5 GHz 2 x 2 MIMO",1.49,1.59cm,30.75cm,22.38cm,3999
HP,Pavilion Aero Laptop 13-be0049AU,Laptop,AMD,,6,2.3,4.2 GHz,8,DDR4-3200 MHz RAM,PCIe NVMe M.2 SSD,512,Windows 10 Home Single Language 64,13.3,WUXGA,1920 x 1200,AMD Radeon RX Vega 7,HP Wide Vision 720p HD camera with integrated dual array digital microphones,"IPS, Edge-to-edge glass, Micro-edge, Anti-glare, 400 nits, 100% sRGB",Bluetooth 5.2,,1 x HDMI 2.0,"1 x USB Type-C (SuperSpeed 10Gbps signaling rate, USB Power Delivery, DisplayPort 1.4, HP Sleep and Charge), 2 x USB Type-A (SuperSpeed 5Gbps signaling rate)",Realtek Wi-Fi CERTIFIED 6 (2x2),< 1,1.69cm,29.7cm,20.9cm,3549
HP,Pavilion Aero 13.3 (13-BE0029AU),Laptop,AMD,Ryzen 7 5800U,8,1.9,4.4 GHz,8,DDR4-3200 MHz RAM,PCIe NVMe M.2 SSD,51,Windows 10 Home Single Language 64,13.3,WQXGA,2560 x 1600,AMD Radeon RX Vega 8,HP Wide Vision 720p HD camera with integrated dual array digital microphones,"IPS, micro-edge, anti-glare, 400 nits, 100% sRGB",Bluetooth 5.2,,1 x HDMI 2.0,"1 x USB Type-C (SuperSpeed 10 Gbps signaling rate, USB Power Delivery, DisplayPort 1.4, HP Sleep and Charge), 2 x USB Type-A (SuperSpeed 5 Gbps signaling rate)",Realtek Wi-Fi CERTIFIED 6 (2x2),< 1,1.69cm,29.7cm,20.9cm,3999
HP,Laptop 14s-dq3001TU,Laptop,Intel,Celeron N4500,2,1.1,2.8 GHz,4,DDR4-2933 MHz RAM,PCIe NVMe M.2 SSD,512,Windows 10 Home,14, Full HD ,1920 x 1080,Intel UHD Graphics,HP True Vision 720p HD camera with integrated dual array digital microphones,"IPS, micro-edge, BrightView, 250 nits, 45% NTSC",Bluetooth 5.0,,1 x HDMI 1.4b,"1 x USB Type-C (SuperSpeed 5 Gbps Signalling Rate), 2 x USB Type-A (SuperSpeed 5 Gbps Signalling Rate)",Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi,1.47,1.79cm,32.4cm,22.5cm,1887
HP,Laptop 14S-FQ1044AU,Laptop,AMD,Ryzen 3 5300U,4,2.6,3.8 GHz,8,DDR4-3200 MHz RAM,PCIe NVMe M.2 SSD,512,Windows 10 Home Single Language 64,14, Full HD ,1920 x 1080,AMD Radeon RX Vega 6,HP True Vision 720p HD camera with integrated dual array digital microphones,"IPS, micro-edge, BrightView, 250 nits, 45% NTSC",Bluetooth 5.0,,1 x HDMI 1.4b,"1 x USB Type-C (SuperSpeed 5 Gbps), 2 x USB Type-A (SuperSpeed 5 Gbps)",Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi,1.47,1.79cm,32.4cm,22.5cm,2699
Acer,Enduro Urban N3 (EUN314-51W-72QE),Laptop,Intel,Core i7-1165G7,4,2.8,4.7 GHz,8,DDR4 SDRAM,PCI Express SSD,512,Windows 10 Home,14, Full HD ,1920 x 1080,Intel Iris Xe Graphics,HD,"ComfyView, In-plane Switching (IPS) Technology",Bluetooth 5.0,,1 x HDMI,"1 x USB Type-C (3.2 Gen 2, Thunderbolt 4), 3 x USB Type-A (3.2 Gen 1)",IEEE 802.11 a/b/g/n/ac/ax,1.85,2.19cm,35.1cm,24.5cm,3899
Asus,E410M-ABV1254TS,Laptop,Intel,Celeron N4020,2,1.1,,4,DDR4,M.2 NVMe PCIe 3.0 SSD,512,Windows 10 Home,14,HD,1366 x 768,Intel UHD Graphics 600,VGA,"16:9 aspect ratio, 200nits, 45% NTSC color gamut, LED Backlit for non-OLED, Anti-glare display, Screen-to-body ratio: 78%",Bluetooth 4.1 (Dual band) 1*1,,1 x HDMI 1.4,"1 x USB Type-C (3.2 Gen 1), 1 x USB Type-A (3.2 Gen 1), 1 x USB Type-A (2.0)",Wi-Fi 5 (802.11ac),1.3,1.84cm,32.5cm,21.7cm,2099
Huawei,MateBook 14s,Laptop,Intel,Core i7-11370H,4,3.1,4.4 GHz,16,LPDDR4x Dual Channel,NVMe PCIe SSD,1 TB,Windows 10 Home,14,2.5K,2520 x 1680,Intel Iris Xe Graphics G7 96EUs,720P HD,"LTPS, 100% sRGB, 400 nits, 1.07 billion colors",Bluetooth 5.1,,1 x HDMI,"2 x USB Type-C (Data, Charging, DisplayPort), 1 x USB Type-A (3.2 Gen 1)",IEEE 802.11a/b/g/n/ac/ax,1.43,1.67cm,31.38cm,22.98cm,6699
HP,Omen 16-B0075TX,Gaming laptop,Intel,Core i7-11800,8,2.3,4.7 GHz,16,DDR4-3200 MHz RAM,,512,Windows 10 Home,16.1,QHD,2560 x 1440),NVIDIA GeForce RTX 3060,HP Wide Vision 720p HD camera with integrated dual array digital microphones,"165 Hz, 3 ms response time, IPS, micro-edge, anti-glare, Low Blue Light, 300 nits, 100% sRGB",Bluetooth 5.0,Integrated 10/100/1000 GbE LAN,1 x HDMI 2.1,"1 x USB Type-C (USB 4), 3 x USB Type-A",Intel Wi-Fi Certified 6 AX201 (2x2),2.3,2.3cm,36.92cm,24.8cm,6697
Lenovo,IdeaPad 3 (82H700D9MJ,Laptop,Intel,Core i3-1115G4,2,3.0,4.1 GHz,4,DDR4-3200 ,,512,Windows 10 Home,14, Full HD ,1920 x 1080,Intel UHD Graphics Xe G4 48EUs,720p with Privacy Shutter,"TN, 250 nits, Anti-glare, 45% NTSC",Bluetooth 5.0,,1 x HDMI 1.4b,"1 x USB Type-C (3.2 Gen 1), 1 x USB Type-A (3.2 Gen 1), 1 x USB Type-A (2.0)", 802.11ac,1.41,1.99cm,32.42cm,21.57cm,2299
Acer,Predator Helios 300 (PH317-55-76CR),Gaming laptop,Intel,Core i7-11800H,8,2.3,4.6 GHz,16,DDR4 SDRAM,,512,Windows 10 Home,17.3, Full HD ,1920 x 1080,NVIDIA GeForce RTX™ 3060,HD,"LED, ComfyView, In-plane Switching (IPS) Technology",Bluetooth 5.2,1 x Gigabit Ethernet,1 x HDMI,"1 x USB Type-C (3.2 Gen 2, DisplayPort over USB-C, Thunderbolt 4, USB Charging), 1 x USB Type-A (3.2 Gen 2), 2 x USB Type-A (3.2 Gen 1)",IEEE 802.11 a/b/g/n/ac/ax,2.9,2.66cm,39.8cm,27.53cm,7397
Huawei,MateBook 14s,Laptop,Intel,Core i5-11300H,8,3.1,4.4 GHz,8,LPDDR4x Dual Channel,NVMe PCIe SSD,512,Windows 10 Home,14.2,2.5K,2520 x 1680,Intel Iris Xe Graphics G7 80EUs,720P HD,"LTPS, 100% sRGB, 400 nits, 1.07 billion colors",Bluetooth 5.1,,1 x HDMI,"2 x USB Type-C (Data, Charging, DisplayPort), 1 x USB Type-A (3.2 Gen 1)",IEEE 802.11a/b/g/n/ac/ax,1.43,1.67cm,31.38cm,22.98cm,4999
HP,Laptop 14s-dq3000TU,Laptop,Intel,Celeron N4500,2,1.1,2.8 GHz,4,DDR4-2933 MHz RAM,PCIe NVMe M.2 SSD,512,Windows 10 Home,14, Full HD ,1920 x 1080,Intel UHD Graphics,HP True Vision 720p HD camera with integrated dual array digital microphones,"IPS, micro-edge, BrightView, 250 nits, 45% NTSC",Bluetooth 5.0,,1 x HDMI 1.4b,"1 x USB Type-C (SuperSpeed 5 Gbps signaling rate), 2 x USB Type-A (SuperSpeed 5 Gbps signaling rate)",Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi,1.47,1.79cm,32.4cm,22.5cm,1697
HP,Laptop 15s-du1510TU,Laptop,Intel,Core i3-10110U,2,2.1,4.1 GHz,8,DDR4-2666 MHz RAM,,512,Windows 10 Home,15.6,HD,1366 x 768,Intel UHD Graphics 620,HP True Vision 720p HD camera with integrated dual array digital microphones,"Micro-edge, BrightView, 220 nits, 45% NTSC",Bluetooth 5.0,Integrated 10/100/1000 GbE LAN,1 x HDMI 1.4b,"1 x USB Type-C (SuperSpeed 5 Gbps signaling rate), 2 x USB Type-A (SuperSpeed 5 Gbps signaling rate)",Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi,1.74,1.99cm,35.85cm,24.2cm,2519
Asus,VivoBook 15 OLED K513 (K513E-AL11109TS),Laptop,Intel,Core i3-1115G4,2,3.0,4.1 GHz,4,DDR4 SO-DIMM,,512,Windows 10 Home,"15,6", Full HD ,1920 x 1080,Intel UHD Graphics Xe G4 48EUs,720p HD,"OLED, 16:9 aspect ratio",Bluetooth 5.0,,1 x HDMI 1.4,"1 x USB Type-C (3.2 Gen 1), 1 x USB Type-A (3.2 Gen 1), 1 x USB Type-A (2.0)",Wi-Fi 6 (802.11ax),1.8,1.79cm,35.9cm,23.5cm,2697
Lenovo,ThinkPad E14 Gen 2,Laptop,Intel,Core i5-1135G7,4,2.4,4.2 GHz,8,SDRAM SO-DIMM DDR4 3200MHz,M.2 2242 SSD,512,Windows 10 Home,14, Full HD ,1920 x 1080,Intel Iris Xe Graphics G7 80EUs,IR Camera with Microphone & ThinkShutter,"IPS, Anti-glare, LED Backlight, Narrow, 45% CG, Non-Touch",Bluetooth 5.0,,1 x HDMI 1.4,"1 x USB Type-C (Thunderbolt 4), 1 x USB Type-A (3.2 Gen 1, Always On), 1 x USB Type-A (2.0)",Intel Wireless 9560 11AC (2x2),1.59,1.79cm,32.4cm,22cm,4297
Asus,A416J-ABV1235TS,Laptop,Intel,Core i3-1005G1,2,,3.4 GHz,4,DDR4,,256,Windows 10 Home,14,HD,1366 x 768,Intel UHD Graphics G1 (Ice Lake 32 EU),VGA,"16:9 aspect ratio, LED Backlit, 200nits, 45% NTSC color gamut, Anti-glare display",Bluetooth 4.1,,1 x HDMI 1.4,"1 x USB Type-C (3.2 Gen 2), 1 x USB Type-A (3.2 Gen 1), 1 x USB Type-A (2.0)",Wi-Fi 5 (802.11ac),1.6,1.99cm,32.54cm,21.6cm,2199
,IdeaPad 3 (81WH004VMJ),Laptop,Intel,Celeron N4020,2,1.1,2.8 GHz,4,DDR4 2400 RAM,M.2 2242 PCIe 3.0 SSD,256,Windows 10 Home,14,HD,1366 x 768,Intel UHD Graphics 600,"720p, with privacy shutter, fixed focus","TN, 220 nits, Anti-glare",Bluetooth 5.0,,1 x HDMI 1.4b,"1 x USB Type-C (3.2 Gen 1), 2 x USB Type-A (3.2 Gen 1), 1 x USB Type-A (2.0)",802.11ac 2x2 Wi-Fi,1.41,1.99cm,32.42cm,21.57cm,1597
HP,Pavilion Aero Laptop 13-be0045AU,Laptop,AMD,Ryzen 5 5600U,6,2.3,4.2 GHz,8,DDR4-3200 MHz RAM,PCIe NVMe M.2 SSD,512,Windows 10 Home Single Language 64,13.3,WQXGA,2560 x 1600,AMD Radeon RX Vega 7,HP Wide Vision 720p HD camera with integrated dual array digital microphones,"IPS, micro-edge, anti-glare, 400 nits, 100% sRGB",Bluetooth 5.2,,1 x HDMI 2.0,"1 x USB Type-C (SuperSpeed 10 Gbps signaling rate, USB Power Delivery, DisplayPort 1.4, HP Sleep and Charge), 2 x USB Type-A (SuperSpeed 5 Gbps signaling rate)",Realtek Wi-Fi CERTIFIED 6 (2x2),< 1,1.69cm,29.7cm,20.9cm,3497
HP,Pavilion Aero Laptop 13-be0044AU,Laptop,AMD,Ryzen 5 5600U,6,2.3,4.2 GHz,8,DDR4-3200 MHz RAM,PCIe NVMe M.2 SSD,512,,13.3,WQXGA,2560 x 1600,AMD Radeon RX Vega 7,HP Wide Vision 720p HD camera with integrated dual array digital microphones,"IPS, micro-edge, anti-glare, 400 nits, 100% sRGB",Bluetooth 5.2,,1 x HDMI 2.0,"1 x USB Type-C (SuperSpeed 10 Gbps signaling rate, USB Power Delivery, DisplayPort 1.4, HP Sleep and Charge), 1 x USB Type-A (SuperSpeed 5 Gbps signaling rate, HP Sleep and Charge), 2 x USB Type-A (SuperSpeed 5 Gbps signaling rate)",Realtek Wi-Fi CERTIFIED 6 (2x2),< 1,1.69cm,29.7cm,20.9cm,3749
HP,Pavilion Aero Laptop 13-be0028AU,Laptop,AMD,Ryzen 7 5800U,8,1.9,4.4 GHz,8,DDR4-3200 MHz RAM,PCIe NVMe M.2 SSD,512,Windows 10 Home,13.3,WQXGA,2560 x 1600,AMD Radeon RX Vega 8,HP Wide Vision 720p HD camera with integrated dual array digital microphones,"IPS, micro-edge, anti-glare, 400 nits, 100% sRGB",Bluetooth 5.2,,1 x HDMI 2.0,"1 x USB Type-C (SuperSpeed 10 Gbps signaling rate, USB Power Delivery, DisplayPort 1.4, HP Sleep and Charge), 1 x USB Type-A (SuperSpeed 5 Gbps signaling rate, HP Sleep and Charge), 2 x USB Type-A (SuperSpeed 5 Gbps signaling rate)",Realtek Wi-Fi CERTIFIED 6 (2x2),< 1,1.69cm,29.7cm,20.9cm,3999
Huawei,MateBook 14 (2021),Laptop,Intel,Core i5-1135G7,4,2.4 GHz,4.2,8,DDR4,NVMe PCIe SSD,512,Windows 10 Home,14,2K,2160 x 1440,Intel Iris Xe Graphics G7 80EUs,720P HD Recessed camera,"IPS, 100% sRGB, 300 Nits, TÜV Rheinland Low Blue Light Certification",Bluetooth 5.1,,1 x HDMI,"1 x USB Type-C (Support data, Charging and DisplayPort), 2 x USB Type-A (3.2 Gen 1)",IEEE 802.11a/b/g/n/ac/ax,1.49,1.59cm,30.6cm,22.2cm,4197
Lenovo,IdeaPad 3 (82H700D8MJ),Laptop,Intel,Core i3-1115G4,2,3.0,4.1 GHz,4,DDR4-3200,M.2 2242 PCIe 3.0×4 NVMe SSD,512,Windows 10 Home,14, Full HD ,1920 x 1080,Intel UHD Graphics Xe G4 48EUs,"720p, with privacy shutter, fixed focus","TN, 220 nits, Anti-glare",Bluetooth 5.0,,1 x HDMI 1.4b,"1 x USB Type-C (3.2 Gen 1), 2 x USB Type-A (3.2 Gen 1), 1 x USB Type-A (2.0)",802.11ac 2x2 Wi-Fi,1.41,1.99cm,32.42cm,21.57cm,2297
HP,Pavilion Laptop 14-DV1006TX,Laptop,Intel,Core i5-1155G7,4,2.5,4.5 GHz,8,DDR4-3200 MHz RAM,PCIe NVMe M.2 SSD,512,Windows 11 Home,14, Full HD ,1920 x 1080,NVIDIA GeForce MX450,HP Wide Vision 720p HD camera with integrated dual array digital microphones,"IPS, micro-edge, anti-glare, 250 nits, 45% NTSC",Bluetooth 5.2,,1 x HDMI 2.0,"1 x USB Type-C (SuperSpeed 10 Gbps signaling rate, USB Power Delivery, DisplayPort 1.4, HP Sleep and Charge), 2 x USB Type-A (SuperSpeed 5 Gbps signaling rate)",MediaTek Wi-Fi 6 MT7921 (2x2),1.41,1.7cm,32.5cm,21.66cm,3899
Acer,Nitro 5 (AN515-45-R7ND),Gaming laptop,AMD,Ryzen 5 5600H,6,3.3,4.2 GHz,8,DDR4 SDRAM,PCI Express SSD,512,Windows 11 Home,15.6, Full HD ,1920 x 1080,NVIDIA GeForce GTX1650,HD,"LED Backlit, ComfyView, In-plane Switching (IPS) Technology",Bluetooth 5.0,1 x Gigabit Ethernet,1 x HDMI,"1 x USB Type-C (3.2 Gen 2), 1 x USB Type-A (3.2 Gen 2), 2 x USB Type-A (3.2 Gen 1)",IEEE 802.11 a/b/g/n/ac/ax,2.20,2.39cm,36.34cm,25.5cm,3699
Acer,Nitro 5 (AN515-45-R91U),Gaming laptop,AMD,Ryzen 7 5800H,8,3.2,4.4 GHz,8,DDR4 SDRAM,PCI Express SSD,512,Windows 11 Home,15.6, Full HD ,1920 x 1080,NVIDIA GeForce RTX 3050Ti,HD,"LED Backlit, ComfyView, In-plane Switching (IPS) Technology",Bluetooth 5.0,1 x Gigabit Ethernet,1 x HDMI,"1 x USB Type-C (3.2 Gen 2), 1 x USB Type-A (3.2 Gen 2), 2 x USB Type-A (3.2 Gen 1)",IEEE 802.11 a/b/g/n/ac/ax,2.20,2.39cm,36.34cm,25.5cm,4699
Asus,VivoBook Pro 15 OLED (M3500Q-CL1212TS),Laptop,AMD,Ryzen 9 5900HX,8,3.3,4.6 GHz,16,DDR4,M.2 NVMe PCIe 3.0 SSD,512,Windows 10 Home,15.6, Full HD ,1920 x 1080,NVIDIA GeForce RTX 3050,,OLED,Bluetooth 5.0,,1 HDMI 1.4,"1 x USB Type-C (3.2 Gen 1), 1 x USB Type-A (3.2 Gen 1), 2 x USB Type-A (2.0)",Wi-Fi 6 (802.11ax), 1.65,1.89cm,35.98cm,23.53cm,5199
Acer,Aspire 3 (A314-35-C1EO),Laptop,Intel,Celeron N4500,2,1.1,2.8 GHz,4,DDR4 SDRAM,,256,Windows 11 Home,15.6, Full HD ,1920 x 1080,Intel UHD Graphics,VGA,"LED backlit, ComfyView, In-plane Switching (IPS) Technology",Bluetooth 5.0,1 x Gigabit Ethernet,1 x HDMI,"2 x USB Type-A (3.2 Gen 1), 1 x USB Type-A (2.0)",IEEE 802.11a/b/g/n/ac,1.9,1.99cm,36.34cm,23.84cm,1625
Acer,Swift 3 (SF314-511-76QE),Laptop,Intel,Core i7-1165G7,4,2.8,4.7 GHz,16,LPDDR4X,,512,Windows 11 Home,14, Full HD ,1920 x 1080,Intel Iris Xe Graphics G7 96EUs,HD,"ComfyView, In-plane Switching (IPS) Technology",Bluetooth 5.1,,1 x HDMI 2.0,"1 x USB Type-C (3.2 Gen 2, Thunderbolt 4, DisplayPort), 2 x USB Type-A (3.2 Gen 1)",Intel Wireless Wi-Fi 6 AX201,1.2,1.59cm,32.28cm,21.22cm,4399
Asus,Laptop 14 A416 (A416M-ABV550W),Laptop,Intel,Celeron N4020,2,1.1,2.8 GHz,4,DDR4 SDRAM,PCIe Gen3 x2 SSD,256,Windows 11 Home,14, Full HD ,1920 x 1080,Intel UHD Graphics 600,VGA Webcam,"LED backlit, 60Hz Anti-Glare Panel with 45% NTSC",Bluetooth 4.1,,,"1 x USB Type-C (3.1 Gen 1), 1 x USB Type-A (3.1 Gen 1), 2 x USB Type-A (2.0)",Intel Wi-Fi 5 (802.11ac),1.5,1.99cm,32.54cm,21.6cm,1597
Asus,Vivobook Pro 15 OLED (M3500Q-CL1185TS),Laptop,AMD,Ryzen 5 5600H,6,3.3,4.2 GHz,8,DDR4,M.2 NVMe PCIe 3.0 SSD,512,Windows 10 Home,15.6, Full HD ,1920 x 1080,NVIDIA GeForce RTX 3050,," 16:9, 400nits, 100% DCI-P3 color gamut, Pantone Validated, Glossy display, Screen-to-body ratio: 84 ％",Bluetooth 5.0,,1 x HDMI 1.4,"1 x USB Type-C (3.2 Gen 1), 1 x USB Type-A (3.2 Gen 1), 2 x USB Type-A (2.0)",Wi-Fi 6 (802.11ax),1.65,1.99cm,35.98cm,23.53cm,4299
HP,Omen 16-B0074TX,Gaming laptop,Intel,Core i7-11800H,8,2.3,4.6 GHz,16,DDR4-3200 MHz RAM,PCIe NVMe TLC M.2 SSD,512,Windows 10 Home,16.1,QHD,2560 x 1440,NVIDIA GeForce RTX 3070 with Max-Q design,HP Wide Vision 720p HD camera with integrated dual array digital microphones,"165 Hz, 3 ms response time, IPS, micro-edge, anti-glare, Low Blue Light, 300 nits, 100% sRGB",Bluetooth 5.0,Integrated 10/100/1000 GbE LAN,1 x HDMI 2.1,"1 x USB Type-C (40 Gbps signaling rate, USB4, Thunderbolt 4, DisplayPort 1.4, HP Sleep and Charge), 1 x USB Type-A  (SuperSpeed 5 Gbps Signaling Rate, HP Sleep and Charge), 2 x USB Type-A  (SuperSpeed 5 Gbps Signaling Rate)",Intel Wi-Fi 6 AX201 (2x2),2.3,2.3cm,36.92cm,24.8cm,7397
HP,Spectre x360 Convertible 14-ea1022TU,2-in-1 Laptops,Intel,Core i7-1195G7,8,2.9,5.0 GHz ,16,LPDDR4x-4266,,1 TB,Windows 11 Home,13.5,WUXGA+,1920 x 1280,Intel Iris Xe Graphics G7 96EUs,	 HP True Vision 720p HD IR camera with camera shutter and integrated dual array digital microphones,"Multitouch-enabled, IPS, edge-to-edge glass, micro-edge, anti-reflection Corning® Gorilla® Glass NBT™, 400 nits, 100% sRGB",Bluetooth 5.0,,,"2 x USB Type-C (Thunderbolt 4 with USB4 SuperSpeed 40 Gbps signaling rate, USB Power Delivery, DisplayPort 1.4, HP Sleep and Charge), 1 x USB Type-A (SuperSpeed 10 Gbps signaling rate, HP Sleep and Charge)",Intel Wi-Fi 6 AX201 (2x2),1.34,1.69cm,29.83cm,22.01cm,7099
Acer,Nitro 5 (AN515-45-R7N5),Gaming laptop,AMD,Ryzen 7 5800H ,8,3.2,4.4 GHz,8,DDR4 SDRAM,PCI Express SSD,512,Windows 11 Home,15.6, Full HD ,1920 x 1080,NVIDIA GeForce GTX 1650,HD,"144 Hz, LED Backlit, ComfyView, In-plane Switching (IPS) Technology",Bluetooth 5.0,1 x Gigabit Ethernet,1 x HDMI,"1 x USB Type-C (3.2 Gen 2), 1 x USB Type-A (3.2 Gen 2), 2 x USB Type-A (3.2 Gen 1)",IEEE 802.11 a/b/g/n/ac/ax,2.2,2.39cm,36.34cm,25.5cm,4199
Acer,Enduro Urban N3 (EUN314A-51W-592A),Laptop,Intel,1135G7,4,2.4,4.2 GHz,8,DDR4 SDRAM,PCI Express SSD,512,Windows 10 Home,14, Full HD ,1920 x 1080,Intel Iris Xe Graphics G7 80EUs,HD,"ComfyView, In-plane Switching (IPS) Technology",Bluetooth 5.0,,1 x HDMI,"1 x USB Type-C (3.2 Gen 2, Thunderbolt 4), 3 x USB Type-A (3.2 Gen 1)",IEEE 802.11 a/b/g/n/ac/ax,1.85,2.19cm,35.1cm,24.5cm,3257
Asus,Zenbook Duo 14 (UX482E-GHY269TS),Laptop,Intel,Core i7-1165G7,4,2.8,4.7 GHz,16,LPDDR4X,M.2 NVMe PCIe 3.0 SSD,512,Windows 10 Home,14, Full HD ,1920 x 1080,NVIDIA GeForce MX450,HD camera with IR function to support Windows Hello,"16:9,IPS-level Panel,Anti-glare display,LED Backlit,400nits,sRGB: 100%,Pantone Validated,Screen-to-body ratio: 93 ％,With stylus support",Bluetooth 5.0,,1 x HDMI 1.4,"2 x USB Type-C (Thunderbolt 4, Display/Power Delivery), 1 x USB Type-A (3.2 Gen 1)",Wi-Fi 6 (802.11ax),1.62,1.73cm,32.42cm,22.2cm,6999
MSI,Creator Z16 A11UET 207,Laptop,Intel,Core i7-11800H,8,2.3,4.6 GHz,32,DDR4-3200,NVMe PCIe Gen4x4 SSD,1 TB,Windows 10 Pro,16,QHD+,2560 x 1600,NVIDIA GeForce RTX 3060,IR HD Type (30 fps @ 720p),"120Hz DCI-P3 100% typical, Finger Touch panel",Bluetooth 5.2,,,"2 x USB Type-C (USB, DisplayPort, Thunderbolt 4), 2 x USB Type-A (3.2 Gen 2)",Killer ax Wi-Fi 6E,2.2,1.59cm,35.9cm,25.6cm,11999
HP,Laptop 15S-EQ1017AU,Laptop,AMD,Athlon Silver 3050U,2,2.3,3.2 GHz,4,DDR4-2400 MHz RAM,,256,Windows 10 Home,15.6,HD,1366 x 768,AMD Radeon RX Vega 2,HP TrueVision HD Camera with integrated dual array digital microphone,SVA BrightView micro-edge WLED-backlit,Bluetooth 4.2,,1 x HDMI 1.4b,"1 x USB Type-C (SuperSpeed 5 Gbps signaling rate), 2 x USB Type-A (SuperSpeed 5 Gbps signaling rate)", 802.11ac (1x1) Wi-Fi,1.7,1.79cm,35.85cm,24.2cm,1699
Acer,Swift X (SFX14-41G-R8QW),Laptop Adapter,AMD,Ryzen 5 5600U,6,2.3,4.2 GHz,8, LPDDR4X,PCI Express SSD,512,Windows 10 Home,14, Full HD ,1920 x 1080,NVIDIA GeForce RTX 3050Ti,HD,"LED backlit, ComfyView, In-plane Switching (IPS) Technology",Bluetooth 5.2,,1 x HDMI,"1 x USB Type-C (3.2 Gen 2), 2 x USB Type-A (3.2 Gen 1)",802.11ax Wi-Fi 6,1.5,1.79cm,32.28cm,21.22cm,4299
HP,Laptop 15S-EQ1017AU,Laptop,AMD,Athlon Silver 3050U,2,2.3,3.2 GHz,4,DDR4-2400 MHz RAM,,256,Windows 10 Home,15.6,HD,1366 x 768,AMD Radeon RX Vega 2,HP TrueVision HD Camera with integrated dual array digital microphone,SVA BrightView micro-edge WLED-backlit,Bluetooth 4.2,,1 x HDMI 1.4b,"1 x USB Type-C (SuperSpeed 5 Gbps signaling rate), 2 x USB Type-A (SuperSpeed 5 Gbps signaling rate)", 802.11ac (1x1) Wi-Fi,1.7,1.79cm,35.85cm,24.2cm,1597
